life_history,Taxon,Habitat,Phylum,Class,Family,Genus,Species,Name,High_acc_temp,Low_acc_temp,Acc_window,proximity_high_acc_ctmax,Source,ctmax,ctmax_ARR,duration,latitude,longitude,Metric,ramping,abs_latitude,Latitudinal_bin,min_latitudinal_bin,Hemisphere,Abs_northern_distribution,Abs_southern_distrib,min_hemisphere_lim,max_hemisphere_lim,lat_range_size,mid_latitude,mean_env_temp,max_env_temp,Ctmax_now,TSM,time_loss_TSM_4.5,time_loss_TSM_8.5,time_gained_with_acclimation_4.5,time_gained_with_acclimation_8.5,percent_increase_TSM,Error_checked,Reference,doi,Jstor_ref,ref,url,,,,,,,,
adult,aquatic invertebrates,freshwater,Arthropoda,Insecta,Hydropsychidae,Parapsyche,apicalis,Parapsyche apicalis,15.0,5.0,10.0,10.2,wild,25.2,0.0,1,44,-86,crit,19.8,44,mid,37.5,N,54,36,36,54,18,45,27.4,27.4,25.4,0.0,0.0,0.0,0.0,0.0,0,11/04/2017,Houghton and Shoup 2014,doi: http://dx.doi.org/10.1603/EN13344,,,,,,,,,,,
adult,reptiles and amphibains,freshwater,Chordata,Amphibia,Plethodontidae,Eurycea,lucifuga,Eurycea lucifuga,15.0,5.0,10.0,22.6,wild,37.2,0.0,14,36,-94,crit,45.0,36,mid,37.5,N,41,33,33,41,8,37,32.2,32.2,39.0,6.8,308.7,185.8,6.2,3.7,2,5/04/2017,Sealander and West 1969,,http://www.jstor.org/stable/3890956,Herpetologica 25(2) 122-124,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Formicidae,Linepithema,humile,Linepithema humile,30.0,15.0,15.0,8.2,wild,38.2,0.0,7,-34,19,crit,3.0,34,mid,37.5,NS,47,43,43,47,90,2,27.0,31.8,38.1,6.3,374.9,225.9,10.0,6.0,3,13/02/2017,Jumbam_et_al2008b,doi:10.1016/j.jinsphys.2008.03.011 ,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Leptodactyildae,Eleutherodactylus,coqui,Eleutherodactylus coqui,27.0,20.0,7.0,10.4,wild,37.4,0.0,7,18,-66,crit,30.0,18,low,12.5,N,26,18,18,26,8,22,29.1,34.7,37.5,2.8,97.9,59.1,2.8,1.7,3,10/02/2017,Christian et al 1998,,http://www.jstor.org/stable/2388239,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,27.0,19.0,8.0,13.9,wild,40.9,0.0,5,-37,145,crit,6.0,37,mid,37.5,S,86,-43,0,86,86,43,28.8,33.5,41.0,7.5,419.7,246.2,12.1,7.1,3,15/04/2017,Overgaard et al 2011,doi: 10.1086/661780,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Hylidae,Litoria,glauerti ,Litoria fallax,30.0,10.0,20.0,9.6,wild,39.6,0.0,12,-20,145,crit,60.0,20,low,12.5,S,-13,-34,13,34,21,24,32.8,41.1,39.7,0.0,0.0,0.0,0.0,0.0,0,9/04/2017,Brattstrom 1970,doi: 10.1016/0010-406x(70) 90915-1,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Hylidae,Hyla,regilla,Hyla regilla,20.0,10.0,10.0,15.3,wild,35.3,0.0,8,46,-113,crit,60.0,46,mid,37.5,N,47,23,23,47,24,35,25.9,30.7,35.5,4.8,205.7,125.7,6.2,3.8,3,10/02/2017,Claussen 1973,doi: 10.1016/0300-9629(73)90377-0 ,,,,,,,,,,,
juvenile,fish,freshwater,Chordata,Actinopterygii,Salmonidae,Salmo,salar,Salmo salar,20.0,15.0,5.0,12.8,lab,32.8,0.0,14,54,-3,crit,18.0,54,high,60.0,N,72,37,37,72,35,55,19.5,19.5,32.8,13.3,699.6,440.6,21.0,13.2,3,10/02/2017,Elliott & Elliott 1995,doi: 10.1111/j.1095-8649.1995.tb06014.x,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Glossinidae,Glossina,pallidipes,Glossina pallidipes,29.0,19.0,10.0,15.2,wild,44.2,0.0,10,-13,32,crit,15.0,13,low,12.5,S,6,-22,22,6,16,8,34.4,41.0,44.4,3.4,131.9,79.9,4.0,2.4,3,15/04/2017,Terblanche_et_al2006,doi: 10.1242/jeb.02129,,,,,,,,,,,
adult,fish,freshwater,Chordata,Actinopterygii,Cyprindae,Rhinichthys,osculus,Rhinichthys osculus thermalis,27.0,24.0,3.0,7.6,wild,34.6,0.0,20,43,-110,crit,27.0,43,mid,37.5,N,49,31,31,49,18,40,22.2,22.2,34.4,12.2,480.8,296.2,16.0,9.9,3,14/04/2017,Kaya et al 1992,,http://www.jstor.org/stable/1446213,,,,,,,,,,
