Fish,UqRep,Treatment,Family,TestingT,Date,Time,W,SL,Sex,StartT,CTM,Video,Stimdist,Stimdirect,StimdirectR,LatencyMS,Response,DuratMS,Dist,VeloMS,MaxVeloMS,EndDirect,EndDirectR
H7d24,H:7d:2,7d,H,28.5,15.04.17,8:30:00,0.884,26.8,M,,,459,113.171,264.144,4.610181834,41.66666667,Cstart,16.66537277,23.023,1.38148725,2.823529,182.157,3.179238947
H3d35,H:3d:3,3d,H,28.5,15.04.17,8:40:00,1.927,36.34,F,,,460,122.216,13.382,0.233559927,20.83333333,Cstart,24.99998247,29.7,1.188000833,1.425601,284.488,4.965251566
H7d3b,H:7d:3,7d,H,30.5,15.04.17,9:15:00,2.76,40.32,F,,,461,39.137,104.349,1.821233358,20.83333333,Cstart,14.58312739,16.08,1.102644143,2.016105,293.199,5.117287175
H3d1b,H:3d:1,3d,H,30.5,15.04.17,9:25:00,1.411,33.46,M,,,462,94.247,34.655,0.604843765,33.33333333,Cstart,12.49902567,15.1,1.208094167,1.449713,261.87,4.570493052
H3d3b,H:3d:3,3d,H,30.5,15.04.17,10:00:00,1.855,36.3,M,,,463,95.313,230.528,4.023472037,20.83333333,Cstart,10.41658056,19.405,1.8628954,2.984147,195.818,3.417668341
HC1d,H:C:1,C,H,30.5,15.04.17,10:10:00,1.798,36,M,,,464,102.169,327.167,5.710140529,31.25,Cstart,22.91986792,23.955,1.045163091,1.932316,78.801,1.375336705
H30d14,H:30d:1,30d,H,28.5,15.04.17,10:20:00,1.58,32.6,M,,,465,105.187,312.776,5.458970233,10.41666667,Cstart,47.91503587,25.708,0.536533043,1.976769,93.854,1.63806108
H3d24,H:3d:2,3d,H,28.5,15.04.17,11:05:00,2.443,38.56,F,,,466,105.14,261.87,4.570493052,18.75,Cstart,10.41664929,17.487,1.6787548,2.880288,230.329,4.019998832
H3d3d,H:3d:3,3d,H,30.5,15.04.17,11:50:00,2.31,38.3,F,,,467,117.542,301.164,5.25630263,18.75,Cstart,12.49982347,16.08,1.286418167,2.016105,223.62,3.90290471
H7d3c,H:7d:3,7d,H,30.5,15.04.17,12:05:00,2.182,38.24,F,,,468,85.679,359.635,6.276813949,14.58333333,Cstart,18.7488711,20.587,1.098039444,1.411765,53.522,0.934134987
H30d3b,H:30d:3,30d,H,30.5,15.04.17,12:15:00,2.021,37.16,M,,,469,86.729,352.694,6.155670663,12.5,Cstart,29.16898607,40.584,1.391340786,2.980441,213.232,3.721599933
HH1d,H:H:1,H,H,30.5,15.04.17,14:30:00,1.327,32.08,M,,,470,80.384,20.358,0.355314078,20.83333333,Cstart,14.58232184,21.805,1.495303714,2.823529,68.012,1.187033159
HC3d,H:C:3,C,H,30.5,15.04.17,14:40:00,1.552,33.7,M,,,471,84.938,325.784,5.686002629,131.25,Other,,,,,,
H30d3c,H:30d:3,30d,H,30.5,15.04.17,14:50:00,2.181,36.28,M,,,472,85.084,246.038,4.294172565,18.75,Cstart,16.66477078,16.646,0.998873625,1.938939,242.447,4.231497801
H3d1d,H:3d:1,3d,H,30.5,15.04.17,15:00:00,1.85,37,F,,,473,99.305,42.274,0.737820381,18.75,Cstart,16.66712227,32.467,1.94796675,3.462299,339.341,5.922616882
H3d2c,H:3d:2,3d,H,30.5,15.04.17,15:35:00,1.226,33,M,,,474,92.71,326.31,5.69518306,58.33333333,Other,,,,,,
H3d2d,H:3d:2,3d,H,30.5,15.04.17,15:50:00,2.292,36.12,M,,,475,111.713,51.34,0.896051909,16.66666667,Cstart,14.58215478,22.426,1.537907143,2.691337,123.69,2.15879744
I30d11,I:30d:1,30d,I,28.5,22.04.17,12:15:00,2.094,37.12,F,,,476,83.232,332.819,5.808786525,14.58333333,Cstart,25.00194063,34.141,1.365534,3.037104,35.311,0.616293123
IH21,I:H:2,H,I,28.5,22.04.17,12:50:00,2.356,38.1,F,,,477,44.069,47.49,0.828856742,6.25,Cstart,27.08131291,41.887,1.546712308,2.823529,246.615,4.304243113
IH31,I:H:3,H,I,28.5,22.04.17,13:00:00,1.465,32.14,M,,,478,52.424,311.186,5.431219502,6.25,Cstart,16.66557131,23.773,1.42647375,1.957954,214.484,3.743451452
I30d21,I:30d:2,30d,I,28.5,22.04.17,13:10:00,2.494,38.84,M,,,479,100.005,267.161,4.66283841,20.83333333,Cstart,10.41611429,21.096,2.0253234,2.796388,235.008,4.101662776
IC1a,I:C:1,C,I,30.5,22.04.17,15:15:00,1.78,35.4,F,,,480,108.426,76.817,1.340709378,22.91666667,Cstart,10.41634585,14.34,1.3766824,2.016105,82.747,1.444207388
I7d1a,I:7d:1,7d,I,30.5,22.04.17,15:20:00,1.674,33.8,M,,,481,111.977,69.474,1.212549869,18.75,Cstart,12.50041125,11.652,0.932129333,2.796388,129.56,2.261248252
I30d3a,I:30d:3,30d,I,30.5,22.04.17,15:30:00,1.722,34.92,M,,,482,96.301,145.542,2.540186733,310.4166667,Other,,,,,,
I30d1a,I:30d:1,30d,I,30.5,22.04.17,15:40:00,1.771,35.34,M,,,483,84.687,205.346,3.583963288,25,Cstart,18.75129744,24.479,1.305456333,3.037104,275.711,4.812064039
I3d2a,I:3d:2,3d,I,30.5,22.04.17,15:50:00,2.13,38.18,F,,,484,88.358,289.819,5.058295055,2.083333333,Other,,,,,,
I3d31,I:3d:3,3d,I,28.5,22.04.17,17:10:00,3.024,42.7,F,,,486,44.122,275.599,4.810109271,10.41666667,Cstart,27.08246307,32.611,1.204137154,1.939493,181.736,3.171891111
I3d11,I:3d:1,3d,I,28.5,22.04.17,17:20:00,1.909,35.08,M,,,487,96.023,172.875,3.017237509,39.58333333,Cstart,29.16454124,31.846,1.091942429,1.996537,231.291,4.036788897
IC21,I:C:2,C,I,28.5,22.04.17,17:30:00,2.067,37,M,,,488,94.411,83.571,1.458588899,16.66666667,Cstart,31.24851627,45.105,1.443428533,2.796388,240.255,4.193240189
IH1a,I:H:1,H,I,30.5,22.04.17,17:40:00,2.389,39.08,F,,,489,81.453,334.799,5.843344039,16.66666667,Other,,,,,,
IC3a,I:C:3,C,I,30.5,22.04.17,17:50:00,2.569,40.68,M,,,490,110.101,84.079,1.46745517,20.83333333,Cstart,24.99940712,42.693,1.7077605,2.796388,171.87,2.999696952
IH2a,I:H:2,H,I,30.5,22.04.17,17:55:00,1.743,35,M,,,491,65.138,99.181,1.731034755,27.08333333,Cstart,27.08048318,37.095,1.369805692,2.057038,257.758,4.498725124
I3d3a,I:3d:3,3d,I,30.5,22.04.17,18:00:00,2.183,36.5,M,,,492,95.732,42.274,0.737820381,20.83333333,Other,,,,,,
IC2a,I:C:2,C,I,30.5,22.04.17,18:10:00,1.777,35.7,F,,,494,102.225,117.172,2.045036896,320.8333333,Other,,,,,,
I7d11,I:7d:1,7d,I,28.5,23.04.17,14:50:00,1.418,32,M,,,495,101.495,186.072,3.247568577,381.25,Other,,,,,,
I3d21,I:3d:2,3d,I,28.5,23.04.17,15:25:00,2.662,40.4,F,,,496,37.096,251.565,4.390636899,8.333333333,Cstart,29.16716406,43.492,1.491128857,2.666667,168.69,2.94419549
IC31,I:C:3,C,I,28.5,23.04.17,16:30:00,1.742,35.4,M,,,497,95.498,357.397,6.237753486,112.5,Other,,,,,,
