brood	temperature_raised	CT	critical_temperature	days_acclim	mass_g	length_mm	log10mass	log10length	bmi
313	28	min	14.9	8	0.251	30.3	-0.600326279	1.481442629	27.3393676
313	28	min	12.4	8	0.179	29.8	-0.747146969	1.474216264	20.1567497
317	28	min	12	1	0.001	9.2	-3	0.963787827	1.18147448
313	28	min	12.6	9	0.176	28.5	-0.754487332	1.45484486	21.6682056
317	28	min	11	2	0.006	8.5	-2.22184875	0.929418926	8.30449827
313	28	min	12.8	10	0.137	27.3	-0.863279433	1.436162647	18.38210629
317	28	min	11.7	3	0.015	9.9	-1.823908741	0.995635195	15.30456076
313	28	min	14.7	11	0.045	15.9	-1.346787486	1.201397124	17.7999288
317	28	min	10.9	4	0.007	8.4	-2.15490196	0.924279286	9.920634921
324	28	min	14	8	0.031	18.4	-1.508638306	1.264817823	9.156427221
325	28	min	13.8	9	0.062	19.8	-1.207608311	1.29666519	15.81471278
324	28	min	13.9	10	0.122	19.4	-0.913640169	1.28780173	32.41577213
325	28	min	14.4	10	0.029	12	-1.537602002	1.079181246	20.13888889
324	28	min	12.8	14	0.142	22.65	-0.847711656	1.355068206	27.6790979
325	28	min	12.9	14	0.072	20.3	-1.142667504	1.307496038	17.47191148
324	28	min	12.2	15	0.064	20	-1.193820026	1.301029996	16
325	28	min	14.1	15	0.105	18.9	-0.978810701	1.276461804	29.39447384
324	28	min	11.1	17	0.169	27.7	-0.772113295	1.442479769	22.02557051
325	28	min	13.6	17	0.103	22.2	-0.987162775	1.346352974	20.89927766
324	28	min	11.2	18	0.183	27.6	-0.73754891	1.440909082	24.02331443
325	28	min	13.8	18	0.083	19.9	-1.080921908	1.298853076	20.95906669
290	31	max	40.1	4	0.042	15.6	-1.37675071	1.193124598	17.25838264
290	31	max	42.3	4	0.066	18.1	-1.180456064	1.257678575	20.14590519
290	31	max	41.3	3	0.039	16	-1.408935393	1.204119983	15.234375
290	31	max	40.5	3	0.044	14.6	-1.356547324	1.164352856	20.64177144
284	31	max	44	11	0.125	21.9	-0.903089987	1.340444115	26.06284273
284	31	max	42.5	10	0.069	19.8	-1.161150909	1.29666519	17.60024487
284	31	max	44	10	0.115	22.4	-0.93930216	1.350248018	22.91932398
284	31	max	43.5	12	0.088	21.8	-1.055517328	1.338456494	18.51695985
278	31	max	43.4	15	0.112	27.8	-0.950781977	1.444044796	14.49200352
281	31	max	42.1	14	0.089	22.6	-1.050609993	1.354108439	17.42501371
281	31	max	42.1	12	0.06	20.1	-1.22184875	1.303196057	14.85111755
281	31	max	43.5	16	0.064	24.1	-1.193820026	1.382017043	11.01909402
300	31	max	44	5	0.056	17.1	-1.251811973	1.23299611	19.15119182
301	31	max	NA	5	0.065	18	-1.187086643	1.255272505	20.0617284
313	31	min	13.7	1	0.062	19.9	-1.207608311	1.298853076	15.6561703
313	31	min	12.3	1	0.055	18.8	-1.259637311	1.274157849	15.56133997
313	31	min	12.3	2	0.044	17.4	-1.356547324	1.240549248	14.5329634
313	31	min	12.3	2	0.029	15.6	-1.537602002	1.193124598	11.9165023
313	31	min	13.4	3	0.096	25.2	-1.017728767	1.401400541	15.11715797
313	31	min	12.6	3	0.034	15.5	-1.468521083	1.190331698	14.15192508
313	31	min	13	4	0.03	20.2	-1.522878745	1.305351369	7.352220371
313	31	min	12.8	4	0.09	23.3	-1.045757491	1.367355921	16.57794397
313	31	min	13.6	7	0.153	25.7	-0.815308569	1.409933123	23.16462021
313	31	min	13.4	7	0.07	22.4	-1.15490196	1.350248018	13.95089286
313	31	min	13.7	8	0.162	27.6	-0.790484985	1.440909082	21.26654064
313	31	min	12.7	8	0.091	22.5	-1.040958608	1.352182518	17.97530864
317	31	min	15.1	1	0.003	9.6	-2.522878745	0.982271233	3.255208333
313	31	min	13.8	9	0.149	26.8	-0.826813732	1.428134794	20.74515482
317	31	min	13.4	2	0.019	8.3	-1.721246399	0.919078092	27.58020032
313	31	min	13.6	10	0.126	22.5	-0.899629455	1.352182518	24.88888889
317	31	min	16.8	3	0.008	7.6	-2.096910013	0.880813592	13.85041551
313	31	min	14.7	11	0.12	24.5	-0.920818754	1.389166084	19.99167014
317	31	min	13.9	4	0.008	7	-2.096910013	0.84509804	16.32653061
324	31	min	13.8	8	0.021	19.6	-1.677780705	1.292256071	5.466472303
325	31	min	13.6	9	0.052	19.5	-1.283996656	1.290034611	13.67521368
324	31	min	13.1	10	0.182	21.8	-0.739928612	1.338456494	38.29643969
325	31	min	14.2	10	0.078	18.9	-1.107905397	1.276461804	21.83589485
324	31	min	13.3	14	0.083	22.2	-1.080921908	1.346352974	16.84116549
325	31	min	14.1	14	0.056	16.2	-1.251811973	1.209515015	21.33821064
324	31	min	14	15	0.053	16.1	-1.27572413	1.206825876	20.44674202
325	31	min	13.8	15	0.076	19.7	-1.119186408	1.294466226	19.5830864
324	31	min	12.2	17	0.167	27.8	-0.777283529	1.444044796	21.60861239
325	31	min	13.2	17	0.085	20.8	-1.070581074	1.318063335	19.64681953
324	31	min	12.4	18	0.17	26.1	-0.769551079	1.416640507	24.95559372
325	31	min	13.3	18	0.102	20.3	-0.991399828	1.307496038	24.75187459
266	33	max	43.8	3	0.014	11.8	-1.853871964	1.071882007	10.05458202
266	33	max	44	8	0.113	23	-0.946921557	1.361727836	21.3610586
266	33	max	43.5	10	0.073	20.4	-1.13667714	1.309630167	17.54133026
266	33	max	44.1	1	0.095	22.3	-1.022276395	1.348304863	19.10354119
266	33	max	42.1	17	0.078	20.5	-1.107905397	1.311753861	18.56038073
265	33	max	42.9	17	0.06	18.9	-1.22184875	1.276461804	16.79684219
265	33	max	44.3	5	0.033	14.5	-1.48148606	1.161368002	15.69560048
265	33	max	43.2	10	0.069	15.2	-1.161150909	1.181843588	29.86495845
265	33	max	43.5	12	0.061	18	-1.214670165	1.255272505	18.82716049
265	33	max	44	3	0.017	10	-1.769551079	1	17
263	33	max	43.2	3	0.033	15	-1.48148606	1.176091259	14.66666667
263	33	max	43.2	5	0.041	16	-1.387216143	1.204119983	16.015625
